"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
4.877551020408163, -1.368421052631579, -0.1, 44, 3, 0, 0, 0, 0
5.102040816326531, -1.368421052631579, -0.1, 45, 3, 0, 0, 0, 0
5.326530612244898, -1.368421052631579, -0.1, 46, 3, 0, 0, 0, 0
5.551020408163264, -1.368421052631579, -0.1, 47, 3, 0, 0, 0, 0
5.775510204081632, -1.368421052631579, -0.1, 48, 3, 0, 0, 0, 0
6, -1.368421052631579, -0.1, 49, 3, 0, 0, 0, 0
-5, -1.157894736842105, -0.1, 0, 4, 0, 0, 0, 0
-4.775510204081633, -1.157894736842105, -0.1, 1, 4, 0, 0, 0, 0
-4.551020408163265, -1.157894736842105, -0.1, 2, 4, 0, 0, 0, 0
-4.326530612244898, -1.157894736842105, -0.1, 3, 4, 0, 0, 0, 0
-4.102040816326531, -1.157894736842105, -0.1, 4, 4, 0, 0, 0, 0
-3.877551020408163, -1.157894736842105, -0.1, 5, 4, 0, 0, 0, 0
-3.653061224489796, -1.157894736842105, -0.1, 6, 4, 0, 0, 0, 0
-3.428571428571429, -1.157894736842105, -0.1, 7, 4, 0, 0, 0, 0
-3.204081632653061, -1.157894736842105, -0.1, 8, 4, 0, 0, 0, 0
-2.979591836734694, -1.157894736842105, -0.1, 9, 4, 0, 0, 0, 0
-2.755102040816326, -1.157894736842105, -0.1, 10, 4, 0, 0, 0, 0
-2.530612244897959, -1.157894736842105, -0.1, 11, 4, 0, 0, 0, 0
-2.306122448979592, -1.157894736842105, -0.1, 12, 4, 0, 0, 0, 0
-2.081632653061224, -1.157894736842105, -0.1, 13, 4, 0, 0, 0, 0
-1.857142857142857, -1.157894736842105, -0.1, 14, 4, 0, 0, 0, 0
-1.63265306122449, -1.157894736842105, -0.1, 15, 4, 0, 0, 0, 0
-1.408163265306123, -1.157894736842105, -0.1, 16, 4, 0, 0, 0, 0
-1.183673469387755, -1.157894736842105, -0.1, 17, 4, 0, 0, 0, 0
-0.9591836734693873, -1.157894736842105, -0.1, 18, 4, 0, 0, 0, 0
-0.7346938775510203, -1.157894736842105, -0.1, 19, 4, 0, 0, 0, 0
-0.5102040816326525, -1.157894736842105, -0.1, 20, 4, 0, 0, 0, 0
-0.2857142857142856, -1.157894736842105, -0.1, 21, 4, 0, 0, 0, 0
-0.06122448979591866, -1.157894736842105, -0.1, 22, 4, 0, 0, 0, 0
0.1632653061224492, -1.157894736842105, -0.1, 23, 4, 0, 0, 0, 0
0.3877551020408161, -1.157894736842105, -0.1, 24, 4, 0, 0, 0, 0
0.6122448979591839, -1.157894736842105, -0.1, 25, 4, 0, 0, 0, 0
0.8367346938775517, -1.157894736842105, -0.1, 26, 4, 0, 0, 0, 0
1.061224489795918, -1.157894736842105, -0.1, 27, 4, 0, 0, 0, 0
1.285714285714286, -1.157894736842105, -0.1, 28, 4, 0, 0, 0, 0
1.510204081632653, -1.157894736842105, -0.1, 29, 4, 0, 0, 0, 0
1.73469387755102, -1.157894736842105, -0.1, 30, 4, 0, 0, 0, 0
1.959183673469388, -1.157894736842105, -0.1, 31, 4, 0, 0, 0, 0
2.183673469387754, -1.157894736842105, -0.1, 32, 4, 0, 0, 0, 0
2.408163265306122, -1.157894736842105, -0.1, 33, 4, 0, 0, 0, 0
2.63265306122449, -1.157894736842105, -0.1, 34, 4, 0, 0, 0, 0
2.857142857142858, -1.157894736842105, -0.1, 35, 4, 0, 0, 0, 0
3.081632653061225, -1.157894736842105, -0.1, 36, 4, 0, 0, 0, 0
3.306122448979592, -1.157894736842105, -0.1, 37, 4, 0, 0, 0, 0
3.530612244897959, -1.157894736842105, -0.1, 38, 4, 0, 0, 0, 0
3.755102040816327, -1.157894736842105, -0.1, 39, 4, 0, 0, 0, 0
3.979591836734695, -1.157894736842105, -0.1, 40, 4, 0, 0, 0, 0
4.204081632653061, -1.157894736842105, -0.1, 41, 4, 0, 0, 0, 0
4.428571428571429, -1.157894736842105, -0.1, 42, 4, 0, 0, 0, 0
4.653061224489795, -1.157894736842105, -0.1, 43, 4, 0, 0, 0, 0
4.877551020408163, -1.157894736842105, -0.1, 44, 4, 0, 0, 0, 0
5.102040816326531, -1.157894736842105, -0.1, 45, 4, 0, 0, 0, 0
5.326530612244898, -1.157894736842105, -0.1, 46, 4, 0, 0, 0, 0
5.551020408163264, -1.157894736842105, -0.1, 47, 4, 0, 0, 0, 0
5.775510204081632, -1.157894736842105, -0.1, 48, 4, 0, 0, 0, 0
6, -1.157894736842105, -0.1, 49, 4, 0, 0, 0, 0
-5, -0.9473684210526316, -0.1, 0, 5, 0, 0, 0, 0
-4.775510204081633, -0.9473684210526316, -0.1, 1, 5, 0, 0, 0, 0
-4.551020408163265, -0.9473684210526316, -0.1, 2, 5, 0, 0, 0, 0
-4.326530612244898, -0.9473684210526316, -0.1, 3, 5, 0, 0, 0, 0
-4.102040816326531, -0.9473684210526316, -0.1, 4, 5, 0, 0, 0, 0
-3.877551020408163, -0.9473684210526316, -0.1, 5, 5, 0, 0, 0, 0
-3.653061224489796, -0.9473684210526316, -0.1, 6, 5, 0, 0, 0, 0
-3.428571428571429, -0.9473684210526316, -0.1, 7, 5, 0, 0, 0, 0
-3.204081632653061, -0.9473684210526316, -0.1, 8, 5, 0, 0, 0, 0
-2.979591836734694, -0.9473684210526316, -0.1, 9, 5, 0, 0, 0, 0
-2.755102040816326, -0.9473684210526316, -0.1, 10, 5, 0, 0, 0, 0
-2.530612244897959, -0.9473684210526316, -0.1, 11, 5, 0, 0, 0, 0
-2.306122448979592, -0.9473684210526316, -0.1, 12, 5, 0, 0, 0, 0
-2.081632653061224, -0.9473684210526316, -0.1, 13, 5, 0, 0, 0, 0
-1.857142857142857, -0.9473684210526316, -0.1, 14, 5, 0, 0, 0, 0
-1.63265306122449, -0.9473684210526316, -0.1, 15, 5, 0, 0, 0, 0
-1.408163265306123, -0.9473684210526316, -0.1, 16, 5, 0, 0, 0, 0
-1.183673469387755, -0.9473684210526316, -0.1, 17, 5, 0, 0, 0, 0
-0.9591836734693873, -0.9473684210526316, -0.1, 18, 5, 0, 0, 0, 0
-0.7346938775510203, -0.9473684210526316, -0.1, 19, 5, 0, 0, 0, 0
-0.5102040816326525, -0.9473684210526316, -0.1, 20, 5, 0, 0, 0, 0
-0.2857142857142856, -0.9473684210526316, -0.1, 21, 5, 0, 0, 0, 0
-0.06122448979591866, -0.9473684210526316, -0.1, 22, 5, 0, 0, 0, 0
